Business Unit ,Country of participant,Course Title,Start Date,End Date,Duration Hours,Training offered,Category,Delivery Method,Product Type,Training Supplier ID,Learning Activity ID
DI SW DM R&D-MOM UX,IT,DM Learning Day - Smart Manufacturing for Automotive,21/10/21,21/10/21,1,Internal,Product Learning,Virtual Instructor-led training (VILT),VIR - Virtual classroom,PLM100 - Siemens PLM Software / Learning Center,80583898
DI SW DM R&D-MOM UX,IT,DM Learning Day - Why semiconductor manufacturing is extremely challenging,21/10/21,21/10/21,1,Internal,Product Learning,Virtual Instructor-led training (VILT),VIR - Virtual classroom,PLM100 - Siemens PLM Software / Learning Center,80585030
DI SW DM R&D-MOM UX,IT,Opcenter Connect MOM 4.1 Release Overview,26/10/21,26/10/21,2,Internal,Product Learning,Virtual Instructor-led training (VILT),VIR - Virtual classroom,PLM100 - Siemens PLM Software / Learning Center,80702077
DI SW DM R&D-MOM UX,IT,Opcenter Execution Process 4.3 - End of increment demo,17/11/21,17/11/21,2,Internal,Product Learning,Virtual Instructor-led training (VILT),VIR - Virtual classroom,PLM100 - Siemens PLM Software / Learning Center,79886463
DI SW DM R&D-MOM UX,IT,DM Learning Day - How the market is influenced by business analysts,20/1/22,20/1/22,1,Internal,Product Learning,Virtual Instructor-led training (VILT),VIR - Virtual classroom,PLM100 - Siemens PLM Software / Learning Center,80702912
DI SW DM R&D-MOM UX,IT,DM Learning Day - Production Management Innovation driven by AI and ML,20/1/22,20/1/22,1,Internal,Product Learning,Virtual Instructor-led training (VILT),VIR - Virtual classroom,PLM100 - Siemens PLM Software / Learning Center,80705701
DI SW DM R&D-MOM UX,IT,DM Learning Day - Modular MOM – Quo vadis?,20/1/22,20/1/22,1,Internal,Product Learning,Virtual Instructor-led training (VILT),VIR - Virtual classroom,PLM100 - Siemens PLM Software / Learning Center,80705881
DI SW DM R&D-MOM UX,IT,"DM Learning Day - A Growth Mindset, Led by: Timo Nentwich, DI SW CFO",20/1/22,20/1/22,1,Internal,Product Learning,Virtual Instructor-led training (VILT),VIR - Virtual classroom,PLM100 - Siemens PLM Software / Learning Center,80706096
DI SW DM R&D-MOM UX,IT,"DM Learning Day - Teamcenter Doctor, a Teamcenter Operation Diagnostic Suite Introduction and latest updates",20/1/22,20/1/22,1,Internal,Product Learning,Virtual Instructor-led training (VILT),VIR - Virtual classroom,PLM100 - Siemens PLM Software / Learning Center,80707435
DI SW DM R&D-MOM UX,IT,DM Learning Day - Introduction to Tecnomatix Plant Simulation,20/1/22,20/1/22,1,Internal,Product Learning,Virtual Instructor-led training (VILT),VIR - Virtual classroom,PLM100 - Siemens PLM Software / Learning Center,80707985
DI SW DM R&D-MOM UX,IT,Siemens Export Control Essentials,11/3/22,11/3/22,0.333,Internal,Business Learning,Self-paced learning,ELE - eLearning,SABA10 - SABA Global Learning Campus,81042138
DI SW DM R&D-MOM UX,IT,Complex collaboration,10/5/22,11/5/22,6,Internal,Business Learning,Blended learning,BLL - Blended learning (less than 50% Instructor-led training),OIT100 - OneLMS Italy,82520179
DI SW DM VA AN R&D,IT,DM Learning Day - Introduction to Semantic Technology,21/10/21,21/10/21,1,Internal,Product Learning,Virtual Instructor-led training (VILT),VIR - Virtual classroom,PLM100 - Siemens PLM Software / Learning Center,80581389
DI SW DM VA AN R&D,IT,DM Learning Day - How Startups and Corporates can benefit each other?,21/10/21,21/10/21,1,Internal,Product Learning,Virtual Instructor-led training (VILT),VIR - Virtual classroom,PLM100 - Siemens PLM Software / Learning Center,80582625
DI SW DM VA AN R&D,IT,"DM Learning Day - Introduction Software analytics, a hands-on workshop",21/10/21,21/10/21,3,Internal,Product Learning,Virtual Instructor-led training (VILT),VIR - Virtual classroom,PLM100 - Siemens PLM Software / Learning Center,80582677
DI SW DM VA AN R&D,IT,DM Learning Day - Smart Manufacturing for Automotive,21/10/21,21/10/21,1,Internal,Product Learning,Virtual Instructor-led training (VILT),VIR - Virtual classroom,PLM100 - Siemens PLM Software / Learning Center,80583909
DI SW DM VA AN R&D,IT,DM Learning Day - Trust – How to Make or Break It! Building Trust and Psychological Safety in the Workplace,21/10/21,21/10/21,1,Internal,Product Learning,Virtual Instructor-led training (VILT),VIR - Virtual classroom,PLM100 - Siemens PLM Software / Learning Center,80585352
DI SW DM VA AN R&D,IT,DM Learning Day - Production Management Innovation driven by AI and ML,20/1/22,20/1/22,1,Internal,Product Learning,Virtual Instructor-led training (VILT),VIR - Virtual classroom,PLM100 - Siemens PLM Software / Learning Center,80705718
DI SW DM VA AN R&D,IT,DM Learning Day - Modular MOM – Quo vadis?,20/1/22,20/1/22,1,Internal,Product Learning,Virtual Instructor-led training (VILT),VIR - Virtual classroom,PLM100 - Siemens PLM Software / Learning Center,80705905
DI SW DM VA AN R&D,IT,DM Learning Day - Data Sources in DI SW,20/1/22,20/1/22,1,Internal,Product Learning,Virtual Instructor-led training (VILT),VIR - Virtual classroom,PLM100 - Siemens PLM Software / Learning Center,80708096
DI SW DM VA AN R&D,IT,DM Learning Day - Data Centric AI,20/1/22,20/1/22,1.25,Internal,Product Learning,Virtual Instructor-led training (VILT),VIR - Virtual classroom,PLM100 - Siemens PLM Software / Learning Center,80710341
